Bezirksregierung,Kreis,Schulform,Schulnummer,Schulname,Index_25_26,Index_24_25,Difference,City
BR Arnsberg,Stadt Dortmund,Realschule,162814,"Dortmund, RS Gertrud-Bäumer-Schule",9,9,0,Dortmund
BR Arnsberg,Stadt Dortmund,Realschule,162826,"Dortmund, RS Marie-Reinders",3,3,0,Dortmund
BR Arnsberg,Stadt Dortmund,Realschule,162840,"Dortmund, RS Robert-Koch",4,4,0,Dortmund
BR Arnsberg,Stadt Dortmund,Realschule,162851,"Dortmund, RS Albert-Schweitzer",6,6,0,Dortmund
BR Arnsberg,Stadt Dortmund,Realschule,162863,"Dortmund, RS Droste-Hülshoff-Schule",5,5,0,Dortmund
BR Arnsberg,Stadt Dortmund,Realschule,162875,"Dortmund, RS Theodor-Heuss",7,7,0,Dortmund
BR Arnsberg,Stadt Dortmund,Realschule,162887,"Dortmund, RS Max-Born-Realschule",4,4,0,Dortmund
BR Arnsberg,Stadt Dortmund,Realschule,162899,"Dortmund, RS Wilhelm-Busch",4,4,0,Dortmund
BR Arnsberg,Stadt Dortmund,Realschule,193938,"Dortmund, RS Albert-Einstein",5,5,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gesamtschule,100132,"Dortmund, GE Reinoldi-Gesamtschule",6,6,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gesamtschule,100177,"Dortmund, GE im Süden",4,ohne,N/A,Dortmund
BR Arnsberg,Stadt Dortmund,Gesamtschule,164240,"Dortmund, GE Scharnhorst",7,7,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gesamtschule,188207,"Dortmund, GE Heinrich-Böll",6,6,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gesamtschule,188219,"Dortmund, GE Geschwister-Scholl",4,4,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gesamtschule,188220,"Dortmund, GE Anne-Frank-Schule",9,9,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gesamtschule,188700,"Dortmund, GE Gartenstadt",8,8,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gesamtschule,188827,"Dortmund, GE Gustav-Heinemann",8,8,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gesamtschule,189960,"Dortmund, GE Brünninghausen",3,3,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gesamtschule,192820,"Dortmund, GE Martin-Luther-King",7,7,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gesamtschule,193641,"Dortmund, GE Europaschule",4,4,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gymnasium,169274,"Dortmund, Gym Bert-Brecht-Gymnasium",3,3,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gymnasium,169286,"Dortmund, Gym Heisenberg",5,5,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gymnasium,169298,"Dortmund, Gym Immanuel-Kant",3,3,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gymnasium,169304,"Dortmund, Gym Max-Planck-Gymnasium",2,2,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gymnasium,169328,"Dortmund, Gym Helene-Lange",2,2,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gymnasium,169330,"Dortmund, Gym Käthe-Kollwitz",3,3,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gymnasium,169341,"Dortmund, Gym Stadtgymnasium Dortmund",6,6,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gymnasium,169353,"Dortmund, Gym Reinoldus u. Schiller",4,4,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gymnasium,169390,"Dortmund, Gym Schweizer Allee",2,2,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gymnasium,169407,"Dortmund, Gym Leibniz",3,3,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gymnasium,169419,"Dortmund, Gym Goethe",3,3,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gymnasium,169420,"Dortmund, Gym Helmholtz",8,8,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gymnasium,169456,"Dortmund, Gym Phoenix",3,3,0,Dortmund
BR Arnsberg,Stadt Dortmund,Gymnasium,183167,"Dortmund, Gym Heinrich-Heine",4,4,0,Dortmund
BR Arnsberg,Stadt Hamm,Realschule,161380,"Hamm, RS Heessen",5,5,0,Essen
BR Detmold,Kreis Höxter,Grundschule,127840,"Willebadessen, KG Schule an d. 7 Quellen",3,3,0,Essen
BR Detmold,Kreis Höxter,Grundschule,127851,"Willebadessen, KG Sankt-Nikolaus",2,2,0,Essen
BR Detmold,Kreis Höxter,Sekundarschule,199862,"Willebadessen, SK Eggeschule",1,1,0,Essen
BR Düsseldorf,Kreis Mettmann,Grundschule,106781,"Ratingen, GG Gebrüder-Grimm-Schule",4,4,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Grundschule,106793,"Ratingen, GG Paul-Maar-Schule",5,5,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Grundschule,106800,"Ratingen, GG Anne-Frank",4,4,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Grundschule,106823,"Ratingen, KG Minoriten",4,4,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Grundschule,106847,"Ratingen, KG Suitbertus",4,4,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Grundschule,106859,"Ratingen, GG Karl-Arnold-Schule",5,5,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Grundschule,106860,"Ratingen, GG Albert-Schweitzer",3,3,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Grundschule,107098,"Ratingen, GG Matthias-Claudius",2,2,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Grundschule,107104,"Ratingen, GG Wilhelm-Busch-Schule",2,2,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Grundschule,107116,"Ratingen, GG Eduard-Dietrich-Schule",2,2,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Grundschule,107128,"Ratingen, KG Heinrich-Schmitz-Schule",3,3,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Grundschule,107130,"Ratingen, KG Johann-Peter-Melchior",2,2,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Grundschule,107220,"Ratingen, GG Christian-Morgenstern",2,2,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Grundschule,183271,"Ratingen, GG Erich Kästner-Schule",8,8,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Grundschule,186612,"Ratingen, GG Astrid-Lindgren-Schule",8,8,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Realschule,159438,"Ratingen, RS Friedrich-Ebert-Schule",5,5,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Realschule,186960,"Ratingen, RS Käthe-Kollwitz-Schule",5,5,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Gesamtschule,189601,"Ratingen, GE Martin-Luther-King",6,6,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Gymnasium,165608,"Ratingen, Gym C.F. von Weizsäcker",3,3,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Gymnasium,183532,"Ratingen, Gym Kopernikus",2,2,0,Ratingen
BR Düsseldorf,Kreis Mettmann,Gymnasium,186016,"Ratingen, Gym Dietrich-Bonhoeffer",4,4,0,Ratingen
BR Düsseldorf,Stadt Düsseldorf,Grundschule,100535,"Düsseldorf, KG Essener Str.",5,5,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,100215,"Essen, GG Meistersingerstraße",7,Neu,N/A,Essen
BR Düsseldorf,Stadt Essen,Grundschule,101771,"Essen, KG Antoniusschule",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,101801,"Essen, KG Bischof-von-Ketteler-Schule",4,4,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,101813,"Essen, KG Christophorusschule",6,6,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,101837,"Essen, KG Dionysiusschule",6,6,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,101850,"Essen, KG Laurentiusschule",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,101886,"Essen, KG Nikolaus",6,6,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,101898,"Essen, KG Johann-Michael-Sailer-Schule",3,3,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,101904,"Essen, GG Bedingrade/ Schönebeck",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,101916,"Essen, GG Astrid Lindgren",8,8,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,101930,"Essen, KG Münsterschule",8,8,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,101941,"Essen, KG Winfried",5,5,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102003,"Essen, KG (Verb.) Eichendorffschule",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102015,"Essen, GG Heinrich-Strunk-Str.",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102027,"Essen, KG Georg",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102040,"Essen, KG Elisabeth",4,4,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102052,"Essen, GG Großenbruch",8,8,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102064,"Essen, GG Nordviertel",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102076,"Essen, KG Altfried",4,4,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102088,"Essen, KG Zollvereinschule",6,6,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102106,"Essen, GG Gerschede",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102118,"Essen, KG Am Krausen Bäumchen",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102120,"Essen, KG Josef/ Horst",3,3,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102143,"Essen, KG Josef/ Kupferdreh",1,1,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102155,"Essen, GG Bückmannshofschule",4,4,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102179,"Essen, KG Cosmas u. Damian",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102180,"Essen, KG Bardeleben",4,4,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102210,"Essen, GG Hinseler Schule",1,1,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102234,"Essen, GG Schlossschule",5,5,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102246,"Essen, GG Schiller",7,7,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102258,"Essen, GG Bergmühlen",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102260,"Essen, GG an der Rahmstraße",7,7,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102271,"Essen, GG Meisenburg",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102283,"Essen, GG Bonifacius",4,4,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102295,"Essen, GG Kantschule",8,8,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102301,"Essen, GG Jacobsallee",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102362,"Essen, GG Bodelschwinghschule",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102386,"Essen, GG Stadthafen",6,6,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102398,"Essen, EG Theodor-Heuss",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102404,"Essen, GG Dürer",8,8,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102416,"Essen, EG Käthe-Kollwitz-Schule",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102430,"Essen, GG Fischlaker Schule",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102453,"Essen, GG Peter-Ustinov-Schule",8,8,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102465,"Essen, GG Hölting",8,8,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102489,"Essen, GG an der Waldlehne",3,3,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102490,"Essen, KG Andreasschule",4,4,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102507,"Essen, GG Viktoriastr.",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102519,"Essen, GG Tuttmann",8,8,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102520,"Essen, GG Schwanenbuschstr.",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102532,"Essen, GG Carl-Funke",1,1,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102544,"Essen, GG Cranach",8,8,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102556,"Essen, GG am Reuenberg",7,7,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102570,"Essen, GG Herder",4,4,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102600,"Essen, GG Ardey",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102623,"Essen, GG Morungenweg",5,5,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102635,"Essen, GG Maria-Kunigunda",8,8,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102647,"Essen, GG Montessorischule am Lönsberg",1,1,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102659,"Essen, GG Karlschule",7,7,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102660,"Essen, GG Stifts",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102672,"Essen, GG Neuessener",8,8,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102696,"Essen, GG Leither",3,3,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102702,"Essen, GG Frieden",6,6,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102714,"Essen, GG Ludgerusschule",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102726,"Essen, GG Heckerschule",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102738,"Essen, GG Joachimschule",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102740,"Essen, GG Im Steeler Rott",5,5,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102751,"Essen, GG Hüttmann",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102763,"Essen, GG Hövelschule",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102775,"Essen, GG Adolf-Reichwein-Schule",4,4,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102787,"Essen, GG Heinickestr.",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102799,"Essen, GG Graf-Spee-Schule",4,4,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102805,"Essen, GG Gervinus",7,7,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102829,"Essen, GG Hinsbeckschule",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102830,"Essen, GG Berliner Schule",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102842,"Essen, GG Kraienbruchschule",4,4,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102866,"Essen, GG im Bergmannsfeld",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,102878,"Essen, GG Burgaltendorf",1,1,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,106630,"Essen, GG Schmachtenberg",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,106641,"Essen, GG an der Ruhr",3,3,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,192879,"Essen, GG am Wasserturm",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,192892,"Essen, GG Emscherschule",6,6,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,195236,"Essen, GG Regenbogenschule",6,6,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,195467,"Essen, GG Sternschule",6,6,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,196551,"Essen, GG Haarzopf",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Grundschule,196563,"Essen, GG Überruhr",4,4,0,Essen
BR Düsseldorf,Stadt Essen,Hauptschule,100066,"Essen, GH Glückauf-Schule",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Hauptschule,136967,"Essen, KH Marienschule",8,8,0,Essen
BR Düsseldorf,Stadt Essen,Hauptschule,136980,"Essen, GH an der Wächtlerstraße",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Hauptschule,137364,"Essen, GH Bochold",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Realschule,100028,"Essen, RS im Bezirk Zollverein",8,8,0,Essen
BR Düsseldorf,Stadt Essen,Realschule,100090,"Essen, RS Kettwig",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Realschule,158781,"Essen, RS Albert-Einstein",2,2,0,Essen
BR Düsseldorf,Stadt Essen,Realschule,158811,"Essen, RS Gertrud-Bäumer",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Realschule,158823,"Essen, RS Elsa-Brändström",4,4,0,Essen
BR Düsseldorf,Stadt Essen,Realschule,158835,"Essen, RS Franz-Dinnendahl-Realschule",6,6,0,Essen
BR Düsseldorf,Stadt Essen,Realschule,158847,"Essen, RS Schloß Borbeck",6,6,0,Essen
BR Düsseldorf,Stadt Essen,Realschule,158859,"Essen, RS Geschwister-Scholl",7,7,0,Essen
BR Düsseldorf,Stadt Essen,Realschule,158872,"Essen, RS Helmut-Rahn-Realschule",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Realschule,158884,"Essen, RS Helene-Lange",6,6,0,Essen
BR Düsseldorf,Stadt Essen,Realschule,158896,"Essen, RS Bertha-Krupp",8,8,0,Essen
BR Düsseldorf,Stadt Essen,Realschule,158902,"Essen, RS Bertha-von-Suttner",8,8,0,Essen
BR Düsseldorf,Stadt Essen,Realschule,158940,"Essen, RS Theodor Goldschmidt mit Aufbau",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Realschule,194906,"Essen, RS Essen-Überruhr",3,3,0,Essen
BR Düsseldorf,Stadt Essen,Gesamtschule,183076,"Essen, GE Bockmühle",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Gesamtschule,187770,"Essen, GE Gustav-Heinemann-Gesamtschule",8,8,0,Essen
BR Düsseldorf,Stadt Essen,Gesamtschule,189080,"Essen, GE Frida-Levy-Gesamtschule",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Gesamtschule,189820,"Essen, GE Erich-Kästner-Schule",8,8,0,Essen
BR Düsseldorf,Stadt Essen,Gesamtschule,190895,"Essen, GE Nord",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Gesamtschule,191334,"Essen, GE Borbeck",5,5,0,Essen
BR Düsseldorf,Stadt Essen,Gesamtschule,193501,"Essen, GE Holsterhausen",5,5,0,Essen
BR Düsseldorf,Stadt Essen,Gymnasium,164719,"Essen, Gym Werden",1,1,0,Essen
BR Düsseldorf,Stadt Essen,Gymnasium,164732,"Essen, Gym Grashof",1,1,0,Essen
BR Düsseldorf,Stadt Essen,Gymnasium,164744,"Essen, Gym Mädchengymnasium Borbeck",5,5,0,Essen
BR Düsseldorf,Stadt Essen,Gymnasium,164756,"Essen, Gym Burg",6,6,0,Essen
BR Düsseldorf,Stadt Essen,Gymnasium,164770,"Essen, Gym Leibniz",6,6,0,Essen
BR Düsseldorf,Stadt Essen,Gymnasium,164781,"Essen, Gym Goethe",1,1,0,Essen
BR Düsseldorf,Stadt Essen,Gymnasium,164800,"Essen, Gym Helmholtz",3,3,0,Essen
BR Düsseldorf,Stadt Essen,Gymnasium,164811,"Essen, Gym Maria-Wächtler",3,3,0,Essen
BR Düsseldorf,Stadt Essen,Gymnasium,164835,"Essen, Gym UNESCO/ Aufbaugymnasium",9,9,0,Essen
BR Düsseldorf,Stadt Essen,Gymnasium,164847,"Essen, Gym Nord-Ost",7,7,0,Essen
BR Düsseldorf,Stadt Essen,Gymnasium,164859,"Essen, Gym Prinzenstr.",5,5,0,Essen
BR Düsseldorf,Stadt Essen,Gymnasium,164872,"Essen, Gym Carl-Humann",3,3,0,Essen
BR Düsseldorf,Stadt Essen,Gymnasium,164884,"Essen, Gym Alfred-Krupp-Schule",8,8,0,Essen
BR Düsseldorf,Stadt Essen,Gymnasium,164902,"Essen, Gym an der Wolfskuhle",4,4,0,Essen
BR Düsseldorf,Stadt Essen,Gymnasium,165578,"Essen, Gym Theodor-Heuss",1,1,0,Essen
BR Düsseldorf,Stadt Essen,Gymnasium,184640,"Essen, Gym Überruhr",3,3,0,Essen
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,103780,"Mülheim an der Ruhr, GG Am Sunderplatz",2,2,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,103809,"Mülheim an der Ruhr, KG Schildbergschule",3,3,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,103822,"Mülheim an der Ruhr, GG Filchnerstraße",2,2,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,103834,"Mülheim an der Ruhr, GG am Oemberg",1,1,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,103846,"Mülheim an der Ruhr,GG am Dichterviertel",7,7,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,103858,"Mülheim an der Ruhr, GG Barbaraschule",2,2,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,103860,"Mülheim an der Ruhr, GG (Verb) Augusta",9,9,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,103913,"Mülheim an der Ruhr, KG Martin-von-Tours",8,8,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,103925,"Mülheim an der Ruhr, KG Katharinenschule",4,4,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,103949,"Mülheim an der Ruhr,GG Pestalozzi-Schule",8,8,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,103950,"Mülheim an der Ruhr, GG Zunftmeisterstr.",9,9,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,103962,"Mülheim an der Ruhr, GG Trooststr.",5,5,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,103974,"Mülheim an der Ruhr, GG Steigerweg",4,4,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,103998,"Mülheim an der Ruhr, GG (Verb.) Lierberg",4,4,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,104000,"Mülheim an der Ruhr, GG Saarnberg",3,3,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,104012,"Mülheim an der Ruhr, GG Erich Kästner",7,7,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,104036,"Mülheim an der Ruhr, GG Heinrichstraße",5,5,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,104048,"Mülheim an der Ruhr, GG Astrid Lindgren",8,8,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,104073,"Mülheim an der Ruhr, GG Klostermarkt",3,3,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,104085,"Mülheim an der Ruhr, GG Hölterschule",2,2,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,185231,"Mülheim an der Ruhr,GG am Krähenbüschken",2,2,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Grundschule,198572,"Mülheim an der Ruhr, GG Brüder-Grimm",7,7,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Hauptschule,137947,"Mülheim an der Ruhr, GH Sch.a.Hexbachtal",9,9,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Realschule,159086,"Mülheim an der Ruhr, RS Stadtmitte",9,9,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Realschule,159098,"Mülheim an der Ruhr, RS Broich",4,4,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Realschule,159104,"Mülheim an der Ruhr,RS Mellinghofer Str.",5,5,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Gesamtschule,164136,"Mülheim an der Ruhr, GE Gustav-Heinemann",5,5,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Gesamtschule,188189,"Mülheim an der Ruhr, GE Saarn",7,7,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Gesamtschule,189078,"Mülheim an der Ruhr, GE Willy-Brandt",8,8,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Gymnasium,165098,"Mülheim an der Ruhr, Gym Karl-Ziegler",4,4,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Gymnasium,165104,"Mülheim an der Ruhr, Gym Luisenschule",2,2,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Gymnasium,165116,"Mülheim an der Ruhr, Gym Broich",2,2,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Gymnasium,165128,"Mülheim an der Ruhr, Gym Otto-Pankok",3,3,0,Mülheim
BR Düsseldorf,Stadt Mülheim a.d.Ruhr,Gymnasium,185322,"Mülheim an der Ruhr, Gym Heißen",2,2,0,Mülheim
BR Köln,Stadt Köln,Grundschule,112495,"Köln, GG Mülheimer Freiheit",6,6,0,Mülheim
BR Münster,Kreis Recklinghausen,Grundschule,122660,"Dorsten, KG Wittenbrinkschule",1,1,0,Witten
